Espejo 1 	 Espejo2 
2.06730770427e+138 	 1.10784213316e+141
2.17636802385e+138 	 1.20068862415e+141
1.93040740286e+138 	 7.35506975912e+140
1.56093335155e+138 	 9.17697522418e+140
2.16748200133e+138 	 1.06823224707e+141
1.31843520143e+138 	 7.45359931366e+140
2.10209250763e+138 	 8.63382961791e+140
2.10772971104e+138 	 1.22291864653e+141
1.83488398481e+138 	 9.66375889052e+140
1.96392517316e+138 	 1.13709113734e+141
1.72055189273e+138 	 9.91580222734e+140
2.24236107604e+138 	 1.22466639548e+141
2.08529959933e+138 	 1.07892739654e+141
1.97620943628e+138 	 1.02885724162e+141
2.05076917671e+138 	 1.13887889807e+141
1.97501762355e+138 	 1.1177210471e+141
1.86230776742e+138 	 1.04164111846e+141
1.43671515919e+138 	 7.91136676293e+140
2.07692615948e+138 	 9.46104281439e+140
2.22810629852e+138 	 1.27073610584e+141
__________________________________________
1.16508472262e+138 	 5.22669025306e+140
__________________________________________
2.34603369403e+138 	 1.37650286663e+141 
