Datos de las intensidades de los espejos.
Espejo 1:
	Intensidad Media = 1.02292315447e+138 	 Intensidad = 2.34603369403e+138 	                  I_0/I = 0.436022362798
Espejo 2:
	Intensidad Media = 5.87854365878e+140 	 Intensidad = 1.37650286663e+141 	                  I_0/I = 0.427063669921
#########################################################
Espejo 1 	 Espejo2 
__________________________________________
1.57202192535e+138 	 9.38543190072e+140
1.81078352645e+138 	 9.85385265402e+140
1.9383648307e+138 	 1.20054093468e+141
1.55716889407e+138 	 8.52996272931e+140
1.53086356695e+138 	 1.15374211007e+141
1.4247239979e+138 	 1.00617117425e+141
1.26900952552e+138 	 9.61405753037e+140
1.70804318421e+138 	 9.82827865268e+140
1.87494085566e+138 	 1.06295037992e+141
1.68746620316e+138 	 9.40441008875e+140
1.47103030295e+138 	 9.24447351787e+140
1.57669977464e+138 	 8.90867207815e+140
1.83809265954e+138 	 1.04768818752e+141
1.82283893393e+138 	 1.06915395573e+141
1.84624740038e+138 	 1.10282933394e+141
1.86278195407e+138 	 1.02035334882e+141
2.19448593203e+138 	 1.23350650315e+141
1.82094963345e+138 	 9.93403363912e+140
1.7816043446e+138 	 9.57803377226e+140
1.75262097987e+138 	 9.41217476013e+140
