Datos de las intensidades de los espejos.
Espejo 1:
	Intensidad Media = 8.21806212411e+137 	 Intensidad = 2.34603369403e+138 	                  I_0/I = 0.350295997241
Espejo 2:
	Intensidad Media = 3.19341668936e+140 	 Intensidad = 1.37650286663e+141 	                  I_0/I = 0.231994917467
#########################################################
Espejo 1 	 Espejo2 
__________________________________________
1.82853652688e+138 	 7.27451628026e+140
1.63579895532e+138 	 9.14326964935e+140
1.34093078579e+138 	 8.92109894212e+140
1.62262894385e+138 	 9.14070485745e+140
1.93172166132e+138 	 1.2756931093e+141
1.88200922283e+138 	 9.42684389413e+140
2.01020712958e+138 	 1.10476603866e+141
1.37490957212e+138 	 7.63446352469e+140
2.01642313976e+138 	 1.09827922396e+141
2.03340670593e+138 	 1.15507287034e+141
2.16215370755e+138 	 1.25120797992e+141
1.81757649201e+138 	 1.15958449809e+141
1.25199225376e+138 	 9.22992207851e+140
1.96435439425e+138 	 1.15512039583e+141
2.11252835733e+138 	 1.10441473697e+141
1.99380717806e+138 	 1.22427221974e+141
1.3996626619e+138 	 9.4970018936e+140
2.14257443497e+138 	 1.1591685133e+141
1.69029125121e+138 	 1.24117780172e+141
1.49947526527e+138 	 8.42326396984e+140
