Datos de las intensidades de los espejos.
Espejo 1:
	Intensidad Media = 8.50243398246e+137 	 Intensidad = 2.34603369403e+138 	                  I_0/I = 0.362417385739
Espejo 2:
	Intensidad Media = 6.37565863358e+140 	 Intensidad = 1.37650286663e+141 	                  I_0/I = 0.463178013513
#########################################################
Espejo 1 	 Espejo2 
__________________________________________
1.66581342721e+138 	 1.07663034275e+141
1.81649913667e+138 	 1.01293146353e+141
2.090200256e+138 	 1.07021609717e+141
1.59279503065e+138 	 9.00347140284e+140
1.94602622709e+138 	 1.15595129618e+141
1.9731205867e+138 	 1.11997598416e+141
9.65459062988e+137 	 1.09314931091e+141
1.57224775877e+138 	 8.03841485767e+140
1.5370573287e+138 	 1.04534970719e+141
1.64706470205e+138 	 9.2244424592e+140
1.63930567112e+138 	 9.77709601399e+140
1.674710729e+138 	 9.97136473353e+140
1.88099405268e+138 	 1.00205883147e+141
1.75576378072e+138 	 1.02516812453e+141
1.66892717134e+138 	 1.09687696458e+141
1.6584341238e+138 	 1.03178728965e+141
1.63148423698e+138 	 1.04269157771e+141
1.63636826719e+138 	 9.57121022009e+140
1.73354812555e+138 	 9.69079467711e+140
1.90656297515e+138 	 1.11682666168e+141
